Settlement Date,Settlement Period,INDO
20170111,30,39924
20170111,31,40692
20170111,32,42111
20170111,33,42778
20170111,34,45705
20170111,35,47224
20170111,36,47221
20170111,37,46886
20170111,38,46107
20170111,39,45623
20170111,40,44443
20170111,41,43622
20170111,42,41589
20170111,43,39604
20170111,44,37086
20170111,45,34551
20170111,46,32608
20170111,47,30630
20170111,48,30257
20170112,1,27057
20170112,2,27542
20170112,3,27372
20170112,4,26695
20170112,5,26283
20170112,6,26125
20170112,7,25899
20170112,8,25574
20170112,9,25331
20170112,10,25374
20170112,11,26073
20170112,12,27687
20170112,13,31216
20170112,14,34899
20170112,15,38903
20170112,16,41104
20170112,17,42267
20170112,18,42149
20170112,19,42909
20170112,20,42815
20170112,21,42946
20170112,22,43312
20170112,23,43803
20170112,24,44172
20170112,25,44635
20170112,26,44468
20170112,27,44577
20170112,28,44645
20170112,29,44812
20170112,30,44783
20170112,31,44748
20170112,32,45798
20170112,33,47333
20170112,34,48239
20170112,35,48451
20170112,36,48046
20170112,37,47692
20170112,38,47412
20170112,39,46947
20170112,40,45617
20170112,41,43891
20170112,42,42110
20170112,43,40016
20170112,44,37370
20170112,45,35145
20170112,46,33212
20170112,47,30938
20170112,48,29350
20170112,1,30092
20170112,2,30560
20170112,3,30648
20170112,4,30252
20170112,5,29511
20170112,6,29335
20170112,7,29030
20170112,8,28787
20170112,9,28850
20170112,10,28885
20170112,11,29334
20170112,12,30686
20170112,13,33004
20170112,14,36533
20170112,15,40532
20170112,16,42736
20170112,17,44004
20170112,18,43894
20170112,19,44724
20170112,20,44691
20170112,21,44843
20170112,22,45187
20170112,23,45656
20170112,24,46022
20170112,25,46483
20170112,26,46303
20170112,27,46245
20170112,28,46274
20170112,29,45954
20170112,30,45891
20170112,31,45542
20170112,32,46583
20170112,33,48173
20170112,34,49146
20170112,35,49463
20170112,36,49123
20170112,37,48822
20170112,38,48481
20170112,39,48492
20170112,40,47164
20170112,41,45859
20170112,42,44090
20170112,43,41876
20170112,44,39133
20170112,45,36785
20170112,46,34833
20170112,47,32400
20170112,48,31770
20170113,1,28730
20170113,2,29120
20170113,3,28796
20170113,4,27936
20170113,5,27348
20170113,6,27258
20170113,7,26897
20170113,8,26297
20170113,9,26005
20170113,10,26088
20170113,11,26625
20170113,12,28010
20170113,13,31399
20170113,14,34840
20170113,15,38905
20170113,16,41212
20170113,17,42320
20170113,18,42228
20170113,19,42980
20170113,20,43198
20170113,21,42891
20170113,22,42561
20170113,23,42139
20170113,24,41680
20170113,25,41375
20170113,26,40980
20170113,27,40739
20170113,28,40844
20170113,29,41221
20170113,30,41428
20170113,31,41656
20170113,32,42564
20170113,33,43829
20170113,34,46036
20170113,35,47562
20170113,36,47402
20170113,37,46687
20170113,38,46168
20170113,39,45187
20170113,40,44004
20170113,41,42537
20170113,42,40873
20170113,43,39156
20170113,44,37116
20170113,45,35410
20170113,46,33854
20170113,47,31778
20170113,48,30316
20170113,1,31316
20170113,2,31919
20170113,3,31646
20170113,4,30909
20170113,5,30406
20170113,6,30405
20170113,7,30033
20170113,8,29438
20170113,9,29101
20170113,10,29186
20170113,11,30256
20170113,12,31445
20170113,13,33658
20170113,14,36475
20170113,15,40538
20170113,16,42845
20170113,17,43690
20170113,18,43583
20170113,19,44736
20170113,20,44994
20170113,21,44767
20170113,22,44524
20170113,23,44137
20170113,24,43719
20170113,25,43141
20170113,26,42741
20170113,27,42675
20170113,28,42701
20170113,29,42892
20170113,30,43097
20170113,31,43459
20170113,32,44411
20170113,33,45804
20170113,34,48089
20170113,35,48749
20170113,36,48575
20170113,37,48560
20170113,38,48037
20170113,39,46837
20170113,40,45572
20170113,41,44077
20170113,42,42400
20170113,43,40597
20170113,44,38524
20170113,45,37053
20170113,46,35488
20170113,47,33622
20170113,48,33146
20170114,1,29547
20170114,2,29974
20170114,3,29509
20170114,4,28645
20170114,5,28107
20170114,6,27926
20170114,7,27339
20170114,8,26579
20170114,9,26220
20170114,10,26013
20170114,11,26060
20170114,12,26533
20170114,13,28001
20170114,14,29190
20170114,15,30934
20170114,16,32368
20170114,17,34476
20170114,18,36442
20170114,19,38118
20170114,20,38618
20170114,21,39036
20170114,22,38939
20170114,23,38835
20170114,24,38512
20170114,25,38374
20170114,26,37966
20170114,27,37612
20170114,28,37390
20170114,29,37468
20170114,30,37692
20170114,31,38321
20170114,32,39129
20170114,33,40535
20170114,34,43146
20170114,35,45150
20170114,36,45394
20170114,37,44780
20170114,38,43930
20170114,39,42598
20170114,40,41097
20170114,41,39857
20170114,42,38308
20170114,43,36874
20170114,44,35324
20170114,45,33788
20170114,46,32584
20170114,47,30937
20170114,48,29803
20170114,1,32833
20170114,2,32844
20170114,3,32596
20170114,4,31883
20170114,5,31529
20170114,6,31496
20170114,7,30892
20170114,8,30111
20170114,9,29932
20170114,10,29660
20170114,11,29755
20170114,12,30107
20170114,13,30454
20170114,14,30976
20170114,15,32720
20170114,16,34153
20170114,17,36107
20170114,18,38072
20170114,19,39748
20170114,20,40248
20170114,21,40665
20170114,22,40570
20170114,23,40178
20170114,24,39844
20170114,25,39885
20170114,26,39473
20170114,27,39257
20170114,28,39036
20170114,29,38795
20170114,30,39012
20170114,31,39967
20170114,32,40775
20170114,33,41632
20170114,34,44224
20170114,35,45966
20170114,36,46433
20170114,37,45933
20170114,38,45024
20170114,39,43582
20170114,40,41887
20170114,41,41535
20170114,42,39964
20170114,43,38502
20170114,44,36949
20170114,45,35414
20170114,46,34212
20170114,47,32436
20170114,48,31298
20170115,1,29524
20170115,2,29637
20170115,3,29003
20170115,4,28086
20170115,5,27317
20170115,6,26762
20170115,7,26039
20170115,8,25267
20170115,9,24667
20170115,10,24365
20170115,11,24276
20170115,12,24296
20170115,13,24969
20170115,14,25537
20170115,15,26531
20170115,16,27236
20170115,17,28734
20170115,18,30518
20170115,19,33015
20170115,20,34676
20170115,21,36081
20170115,22,36953
20170115,23,38292
20170115,24,38766
20170115,25,39444
20170115,26,39408
20170115,27,39317
20170115,28,39348
20170115,29,39344
20170115,30,39307
20170115,31,39575
20170115,32,40336
20170115,33,41678
20170115,34,43966
20170115,35,45007
20170115,36,44697
20170115,37,44235
20170115,38,43486
20170115,39,42294
20170115,40,41288
20170115,41,39932
20170115,42,38483
20170115,43,36651
20170115,44,34683
20170115,45,32935
20170115,46,31260
20170115,47,29368
20170115,48,28170
20170115,1,30737
20170115,2,31187
20170115,3,31139
20170115,4,30721
20170115,5,30158
20170115,6,29682
20170115,7,29199
20170115,8,28544
20170115,9,28539
20170115,10,28377
